complaint_text,language,category,urgency,department,expected_email
"द्वारका सेक्टर 6 के पॉकेट 1 में पिछले दो दिनों से नाले जैसा काला और बदबूदार पानी आ रहा है। घर में छोटे बच्चे हैं, बीमार पड़ जाएंगे, इसे तुरंत ठीक करवाइए भाई साहब।",Hindi,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
"Sector 6 main road ke pass pipeline phati hui hai aur subah se kafi pani waste ho raha hai. Please jaldi kisi ko bhej ke leakage band karwao, pura rasta bhar gaya hai.",Hindi,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
"अरे साहब, ई द्वारका सेक्टर 6 में कल से एक बूंद पानी नहीं आया है, मोटर चला-चला के थक गए। खाना-पीना बनाना मुश्किल हो गया है, कुछ तो जुगाड़ करिए जल्दी सभे लोग परेशान बा।",Hindi,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
"द्वारका सेक्टर 6 च पानी दा टाइमिंग ही बड़ा अजीब हो गया है जी। कदे सवेरे 4 बजे आ जांदा है, बंदा की करे? थोड़ा टाइम फिक्स करवाओ सवेरे 6-7 बजे दा ताकि टैंकी भर सके।",Hindi,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
"Sir, in Dwarka Sector 6, the water meter in my house is not working properly and showing very high reading this month. Kindly check and rectify the billing error.",Hindi,Water,Low,Delhi Jal Board,cgro@delhijalboard.nic.in
"ਓਖਲਾ ਫੇਸ 2 ਦੀ ਗਲੀ ਨੰਬਰ 4 ਵਿੱਚ ਪਿਛਲੇ ਦੋ ਦਿਨਾਂ ਤੋਂ ਪਾਣੀ ਬਿਲਕੁਲ ਨਹੀਂ ਆ ਰਿਹਾ, ਬੱਚੇ ਪਿਆਸੇ ਬੈਠੇ ਨੇ ਜੀ, ਜਲਦੀ ਹੱਲ ਕਰੋ।",Punjabi,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
"ਸਾਡੇ ਇਲਾਕੇ ਵਿੱਚ ਪਾਣੀ ਦਾ ਪ੍ਰੈਸ਼ਰ ਬਹੁਤ ਘੱਟ ਹੈ, ਮੋਟਰ ਚਲਾ ਕੇ ਵੀ ਟੈਂਕੀ ਨਹੀਂ ਭਰਦੀ, ਸਵੇਰੇ ਸਿਰਫ ਅੱਧਾ ਘੰਟਾ ਪਾਣੀ ਆਉਂਦਾ ਹੈ।",Punjabi,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
"ਪਾਣੀ ਵਿੱਚੋਂ ਬਹੁਤ ਗੰਦੀ ਬਦਬੂ ਆ ਰਹੀ ਹੈ ਤੇ ਰੰਗ ਵੀ ਕਾਲਾ ਹੈ, ਸ਼ਾਇਦ ਸੀਵਰ ਦਾ ਪਾਣੀ ਮਿਲ ਗਿਆ ਹੈ, ਬਿਮਾਰੀ ਫੈਲਣ ਦਾ ਡਰ ਹੈ।",Punjabi,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
"ਓਖਲਾ ਫੇਸ 2 ਦੀ ਮੇਨ ਰੋਡ 'ਤੇ ਪਾਈਪ ਲੀਕ ਹੋ ਰਿਹਾ ਹੈ, ਸਾਰਾ ਪਾਣੀ ਸੜਕ 'ਤੇ ਬਰਬਾਦ ਹੋ ਰਿਹਾ ਹੈ, ਇਹਨੂੰ ਠੀਕ ਕਰਵਾ ਦਿਓ।",Punjabi,Water,Low,Delhi Jal Board,cgro@delhijalboard.nic.in
"ਇਸ ਵਾਰ ਪਾਣੀ ਦਾ ਬਿੱਲ ਬਹੁਤ ਜ਼ਿਆਦਾ ਆ ਗਿਆ ਹੈ ਜਦਕਿ ਵਰਤੋਂ ਬਹੁਤ ਘੱਟ ਸੀ, ਕਿਰਪਾ ਕਰਕੇ ਮੀਟਰ ਦੀ ਚੈਕਿੰਗ ਕਰਵਾਈ ਜਾਵੇ।",Punjabi,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
ساکیت جے بلاک میں مین لائن پھٹ گئی ہے اور سڑک پر پانی ہی پانی ہے، گھروں میں بوند نہیں آ رہی۔ بھائی جلدی ٹھیک کرو، سارا کام رکا پڑا ہے۔,Urdu,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
ساکیت کے اس علاقے میں پچھلے دو دن سے نل میں بہت گندا اور بدبودار پانی آ رہا ہے۔ یہ پانی تو پینے کے قابل ہی نہیں ہے، جلدی اس کا حل نکالیں۔,Urdu,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
بھائی، ساکیت بلاک جی میں صبح سپلائی کا پریشر بہت کم ہوتا ہے، آدھے گھنٹے میں بالٹی بھی نہیں بھرتی۔ ذرا دیکھو کیا مسئلہ ہے۔,Urdu,Water,Low,Delhi Jal Board,cgro@delhijalboard.nic.in
دو دن سے ساکیت میں پانی نہیں آ رہا، ہم لوگ بہت پریشان ہیں اور ٹینکر کا کوئی اتہ پتہ نہیں ہے۔ جلدی سپلائی بحال کریں ورنہ دھرنا دیں گے۔,Urdu,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
